2016-04-09 17:23:20,033 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HW4:HW4:0.0.1-SNAPSHOT @ /Users/kaichenzhang/Documents/CS6200/HW4/pom.xml.
2016-04-09 17:23:21,430 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 17:23:21,433 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW4/src/main/resources
2016-04-09 17:23:21,438 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 17:23:21,439 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW4/src/test/resources
2016-04-09 17:23:21,954 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: IR:IR:0.0.1-SNAPSHOT @ /Users/kaichenzhang/Documents/CS6200/IR/pom.xml.
2016-04-09 17:23:22,368 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 17:23:22,369 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/IR/src/main/resources
2016-04-09 17:23:22,370 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 17:23:22,371 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/IR/src/test/resources
2016-04-09 17:23:22,978 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HW4:HW4:0.0.1-SNAPSHOT @ /Users/kaichenzhang/Documents/CS6200/HW4/pom.xml.
2016-04-09 17:23:23,282 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: IR:IR:0.0.1-SNAPSHOT @ /Users/kaichenzhang/Documents/CS6200/IR/pom.xml.
2016-04-09 17:23:23,368 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: IR:IR:0.0.1-SNAPSHOT @ /Users/kaichenzhang/Documents/CS6200/IR/pom.xml.
2016-04-09 17:23:23,479 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HW4:HW4:0.0.1-SNAPSHOT @ /Users/kaichenzhang/Documents/CS6200/HW4/pom.xml.
2016-04-09 17:23:24,212 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 17:23:24,213 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW4/src/main/resources
2016-04-09 17:23:24,216 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 17:23:24,217 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/HW4/src/test/resources
2016-04-09 17:23:25,287 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 17:23:25,290 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/IR/src/main/resources
2016-04-09 17:23:25,304 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 17:23:25,309 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/kaichenzhang/Documents/CS6200/IR/src/test/resources
